    # Stuff for 030723
    0.617 19.5 6
    0.810 19.3 6
    21.68 21.0 6
 #   24.27 20.9 6
    24.97 21.13 6

    # Stuff for 020405
    1.238 18.5 7
    1.344 18.8 7
    1.452 19.8 7
    1.526 19.9 7

    # Stuff for 010221
    0.579 18.18 4
    0.630 18.36 4
    0.686 18.52 4
    0.702 18.68 4
    0.692 18.4  4
    0.732 18.67 4
    1.187 19.62 4
    1.313 19.79 4

    # Stuff for 030329
      1.53439      12.5550 2
   #   1.55369      12.5580 2
   #   1.57303      12.5990 2
   #   1.59233      12.6560 2
   #   1.61169      12.5770 2
   #   1.63100      12.6030 2
   #   1.65039      12.6000 2
   #   1.66967      12.6190 2
   #   1.68908      12.6200 2
      1.70844      12.6490 2
   #   1.72778      12.6700 2
   #   1.74700      12.6760 2
   #   1.76617      12.6980 2
   #   1.78547      12.6750 2
      1.80472      12.6770 2
   #   1.82389      12.7700 2
   #   1.92017      12.6820 2
   #   1.93944      12.7460 2
   #   1.95867      12.7670 2
   #   1.97794      12.7860 2
   #   1.99739      12.8000 2
   #   2.01675      12.8130 2
   #   2.03617      12.8220 2
   #   2.05542      12.8180 2
   #   2.07544      12.8310 2
   #   2.09544      12.8500 2
   #   2.11550      12.8360 2
   #   2.13547      12.8450 2
      2.15542      12.8480 2
   #   4.05332      13.5290 2
      4.77072      13.7990 2
      14.9328      15.1000 2
  #    15.1252      15.1070 2
       15.3175      15.1330 2
       17.0612      15.3540 2
  #    17.2532      15.3760 2
  #    17.4454      15.4030 2
  #    17.6376      15.4200 2
  #    17.8296      15.4420 2
       18.0216      15.4580 2
  #    18.2136      15.4850 2
  #    18.4058      15.5110 2
  #    18.5979      15.5200 2
  #    18.7900      15.5550 2
  #    18.9821      15.5710 2
       19.1742      15.6080 2
  #    19.3665      15.6440 2
  #    19.5586      15.6350 2
  #    19.7508      15.6760 2
  #    19.9427      15.7020 2
       20.1347      15.7110 2
  #    20.3268      15.7310 2
  #    20.5191      15.7870 2
  #    20.7113      15.8080 2
  #    20.9035      15.8000 2
       21.0957      15.8210 2
  #    21.2880      15.8520 2
  #    21.4802      15.8430 2
  #    21.6725      15.8700 2
  #    21.8646      15.9300 2
  #    22.0566      15.9700 2
  #    22.2487      15.9830 2
  #    22.4409      16.0040 2
  #    22.6331      16.0170 2
  #    22.8254      16.0250 2
  #    23.0174      16.0520 2
  #    23.2287      16.0700 2
       22.8004      15.9370 2
  #    22.9938      15.9790 2
       23.1872      16.0200 2
       25.6856      16.1600 2
  #    25.8884      16.1890 2
       26.0809      16.1670 2
  #    26.2733      16.1600 2
  #    26.4659      16.1570 2
  #    26.6585      16.1510 2
       27.0440      16.1570 2
  #    27.2370      16.1910 2
  #    27.4299      16.1870 2
  #    27.6230      16.2030 2
  #    27.8159      16.2530 2
       28.0090      16.2480 2
  #    28.2027      16.3910 2
  #    28.3999      16.3940 2
  #    28.5995      16.5250 2
  #    28.8090      16.5970 2
       39.2276      16.1980 2
  #    39.4402      16.2100 2
  #    39.6322      16.2090 2
  #    39.8243      16.2130 2
       40.0163      16.2240 2
  #    40.2086      16.2350 2
  #    40.4009      16.2510 2
  #    40.5933      16.2560 2
  #    40.7855      16.2830 2
  #    40.9777      16.2980 2
       41.3621      16.3030 2
  #    41.5543      16.3130 2
  #    41.7464      16.3290 2
  #    41.9649      16.3450 2
       42.1835      16.3550 2
  #    42.3756      16.3670 2
  #    42.5677      16.3740 2
  #    42.7599      16.4080 2
  #    42.9521      16.3970 2
       43.1447      16.4310 2
  #    43.3372      16.4350 2
  #    43.5297      16.4360 2
  #    43.7219      16.4580 2
  #    43.9143      16.4520 2
       44.1066      16.4600 2
  #    44.2991      16.4750 2
  #    44.4914      16.4990 2
  #    44.6837      16.4980 2
  #    44.8760      16.5110 2
      45.0684      16.5160 2
  #    45.2608      16.5100 2
  #    45.4531      16.4910 2
  #    45.6454      16.4910 2
  #    45.8376      16.5050 2
  #    46.0300      16.5200 2
  #    46.2225      16.5020 2
  #    46.4148      16.5270 2
  #    46.6073      16.5680 2
      46.8287      16.5730 2

    

    # Stuff for 021004
    0.1575 15.34 3
    0.2003 15.49 3
    0.2856 15.78 3
    0.57956 16.3 3
    2.1129 16.0 3
    7.76289 17.7 3
    8.188175 18.14 3
    8.29623 18.12 3
    11.822619 18.68 3
    12.021231 19.10 3
    19.27956 19.25 3
    21.779564 19.31 3
    23.729564 19.39 3
    36.072 19.66 3
    38.39623 19.92 3
    
    
    # Stuff for 021211
    0.02492 14.06
    0.03 14.8 9
    0.0397222 15.2 9
    0.056111 15.8 9
    0.340556 18.2 9
    2.090556 21 9
    ##18.94 22.8 9
    ##20.6 23.2 9
    ##42.87388 23.1 9
    
    # Stuff for 030418
    0.140   17.79  5
    0.222   17.33  5
    0.304   17.42  5
    0.385   17.26  5
    0.467   17.29  5
    0.549   17.40  5
    0.730   17.49  5
    2.139   18.19  5
    ##2.404   18.24  5
