IGM HI transmissions exp(-tau) (HeI and HeII not included!). Please
reference: Meiksin A., 2005, MNRAS, 365, 807 in any publications using these results.
-------------------------------------------------------------------------------------
lam (A)  z=1.5    z=2.0    z=2.5    z=3.0    z=3.5    z=4.0    z=4.5    z=5.0    z=5.5    z=6.0    z=6.5    z=7.0
1776.0 0.338354 0.150989 0.072550 0.036382 0.018737 0.009819 0.005207 0.002785 0.001499 0.000810 0.000439 0.000239
1777.0 0.338717 0.151019 0.072511 0.036339 0.018703 0.009795 0.005192 0.002775 0.001492 0.000806 0.000437 0.000238
1778.0 0.339082 0.151050 0.072472 0.036295 0.018669 0.009772 0.005176 0.002765 0.001486 0.000803 0.000435 0.000236
1779.0 0.339448 0.151081 0.072433 0.036252 0.018635 0.009748 0.005161 0.002756 0.001480 0.000799 0.000433 0.000235
1780.0 0.339816 0.151113 0.072395 0.036209 0.018601 0.009725 0.005146 0.002746 0.001474 0.000795 0.000430 0.000234
1781.0 0.340186 0.151145 0.072357 0.036166 0.018568 0.009702 0.005131 0.002736 0.001469 0.000792 0.000428 0.000232
1782.0 0.340557 0.151177 0.072319 0.036123 0.018534 0.009679 0.005116 0.002727 0.001463 0.000788 0.000426 0.000231
1783.0 0.340930 0.151210 0.072281 0.036080 0.018501 0.009656 0.005100 0.002717 0.001457 0.000784 0.000424 0.000230
1784.0 0.341304 0.151243 0.072243 0.036037 0.018467 0.009633 0.005085 0.002708 0.001451 0.000781 0.000422 0.000228
1785.0 0.341680 0.151277 0.072206 0.035994 0.018434 0.009610 0.005070 0.002698 0.001445 0.000777 0.000420 0.000227
1786.0 0.342058 0.151311 0.072168 0.035952 0.018401 0.009587 0.005055 0.002689 0.001439 0.000774 0.000417 0.000226
1787.0 0.342437 0.151346 0.072131 0.035909 0.018368 0.009564 0.005041 0.002680 0.001433 0.000770 0.000415 0.000225
1788.0 0.342818 0.151381 0.072095 0.035867 0.018335 0.009541 0.005026 0.002670 0.001428 0.000767 0.000413 0.000223
1789.0 0.343200 0.151417 0.072058 0.035825 0.018302 0.009518 0.005011 0.002661 0.001422 0.000763 0.000411 0.000222
1790.0 0.343584 0.151453 0.072021 0.035783 0.018269 0.009496 0.004996 0.002652 0.001416 0.000760 0.000409 0.000221
1791.0 0.343970 0.151489 0.071985 0.035741 0.018237 0.009473 0.004982 0.002642 0.001410 0.000756 0.000407 0.000220
